airplaneType,airFlightNum,originAirport,destinationAirport,curNumPassenger,scheduledTakeoffTime,scheduledDepartingTime,scheduledArrivingTime
Airbus 330,UA20099,JFK,KSAV,276,30540,30600,35700
Boeing 747,UA20100,DEN,KCVG,266,36900,36960,43560
Airbus 330,UA20101,DEN,JFK,278,42420,42480,53640
Airbus 330,UA20102,DEN,MCO,327,41100,41160,51780
Airbus 380,UA20103,DEN,KPIT,601,36180,36240,43740
Airbus 380,UA20104,DEN,SFO,580,39780,39840,45540
Boeing 747,UA20105,DEN,KCVG,259,34380,34440,41040
Boeing 747,UA20106,DEN,KPHX,232,33060,33120,36960
Boeing 747,UA20107,DEN,KMSP,253,27900,27960,32280
Airbus 330,UA20108,DEN,KPHX,316,38760,38820,43140
Airbus 330,UA20109,DEN,KDTW,292,42780,42840,50640
Boeing 747,UA20110,DEN,KCLT,249,22740,22800,30960
Boeing 747,UA20111,DEN,KCVG,248,28440,28500,35100
Boeing 747,UA20112,DEN,KNKX,250,35760,35820,41100
Airbus 330,UA20113,DEN,JFK,268,23340,23400,34560
Airbus 380,UA20114,DEN,KPIT,624,22380,22440,29940
Airbus 330,UA20115,DEN,MCO,311,36600,36660,47280
Airbus 330,UA20116,DEN,LAX,318,32940,33000,39060
Airbus 380,UA20117,DEN,CLE,645,32460,32520,39540
Airbus 380,UA20118,DEN,LAX,617,41820,41880,46980
Airbus 330,UA20119,DEN,KMSP,312,36960,37020,41880
Airbus 380,UA20120,DEN,KMCI,552,30780,30840,34140
Boeing 747,UA20121,DEN,KDTW,256,33120,33180,40080
Airbus 380,UA20122,DEN,MCO,609,40740,40800,49740
Airbus 380,UA20123,DEN,KDTW,544,23880,23940,30540
Airbus 330,UA20124,DEN,MCO,287,42780,42840,53460
Airbus 330,UA20125,DEN,KDTW,330,41940,42000,49800
Boeing 747,UA20126,DEN,MEM,274,23700,23760,29160
Airbus 330,UA20127,DEN,ORD,319,27000,27060,33300
Boeing 747,UA20128,DEN,KDTW,228,29100,29160,36060
Airbus 330,UA20129,DEN,KPIT,313,32340,32400,41280
Airbus 380,UA20130,DEN,KNKX,558,30240,30300,35340
Airbus 380,UA20131,DEN,KPHL,550,21840,21900,30900
Airbus 330,UA20132,DEN,ATL,271,22200,22260,30540
Boeing 747,UA20133,DEN,CLE,257,30600,30660,37980
Airbus 330,UA20134,DEN,KSTL,310,26100,26160,31620
Airbus 380,UA20135,DEN,KBOS,591,25200,25260,35340
Airbus 380,UA20136,DEN,MEM,525,37200,37260,42420
Airbus 330,UA20137,DEN,CLE,316,25560,25620,33960
Airbus 330,UA20138,DEN,ATL,333,25320,25380,33660
Boeing 747,UA20139,DEN,JFK,239,34260,34320,44160
Airbus 330,UA20140,DEN,KMIA,328,43080,43140,54840
Airbus 380,UA20141,DEN,KMSP,531,24060,24120,28260
Airbus 380,UA20142,DEN,KSAV,560,22320,22380,30600
Boeing 747,UA20143,DEN,CLE,254,42180,42240,49560
Boeing 747,UA20144,DEN,KPIT,230,36240,36300,44160
Airbus 330,UA20145,DEN,KPIT,285,22320,22380,31260
Airbus 380,UA20146,DEN,KPHX,529,25320,25380,29040
Boeing 747,UA20147,DEN,MCI,227,26400,26460,29880
Boeing 747,UA20148,DEN,JFK,254,32040,32100,41940
Airbus 330,UA20149,DEN,KDTW,311,40080,40140,47940
Airbus 330,UA20150,DEN,KPHL,272,28800,28860,39540
Boeing 747,UA20151,DEN,KNKX,251,22560,22620,27900
Airbus 330,UA20152,DEN,KDTW,334,33060,33120,40920
Airbus 330,UA20153,DEN,MCI,309,42180,42240,46140
Airbus 380,UA20154,DEN,KCLT,630,29580,29640,37440
Airbus 380,UA20155,DEN,KMSP,556,22500,22560,26700
Airbus 330,UA20156,DEN,KSAV,329,42540,42600,52320
Airbus 380,UA20157,DEN,KDTW,614,31800,31860,38460
Airbus 330,UA20158,DEN,KCLT,323,42480,42540,51780
Boeing 747,UA20159,DEN,LIT,223,39120,39180,44040
Boeing 747,UA20160,DEN,KPIT,261,35760,35820,43680
Airbus 330,UA20161,DEN,KCVG,276,30480,30540,37980
Airbus 330,UA20162,DEN,KSEA,326,42360,42420,49560
Boeing 747,UA20163,DEN,KCVG,242,28080,28140,34740
Boeing 747,UA20164,DEN,MCO,236,38640,38700,48060
Boeing 747,UA20165,DEN,LIT,225,29580,29640,34500
Boeing 747,UA20166,DEN,ORD,251,21840,21900,27420
Boeing 747,UA20167,DEN,KDTW,266,28800,28860,35760
Boeing 747,UA20168,DEN,KDTW,255,22800,22860,29760
Airbus 330,UA20169,DEN,MEM,333,21720,21780,27900
Boeing 747,UA20170,DEN,KMSY,266,34260,34320,40860
Airbus 380,UA20171,DEN,CLE,628,28500,28560,35580
Boeing 747,UA20172,DEN,KDTW,232,40980,41040,47940
Airbus 330,UA20173,DEN,MCI,305,39240,39300,43200
Airbus 380,UA20174,DEN,KDTW,557,40560,40620,47220
Boeing 747,UA20175,DEN,KCVG,251,34860,34920,41520
Airbus 330,UA20176,DEN,JFK,270,42960,43020,54180
Airbus 380,UA20177,DEN,KPHL,592,27420,27480,36480
Airbus 330,UA20178,DEN,KMSY,292,31620,31680,39060
Boeing 747,UA20179,DEN,KPIT,240,22680,22740,30600
Boeing 747,UA20180,DEN,KMSP,239,26100,26160,30480
Airbus 330,UA20181,DEN,KCLT,316,43080,43140,52380
Airbus 330,UA20182,DEN,KDTW,272,27120,27180,34980
Airbus 330,UA20183,DEN,KCVG,285,42360,42420,49860
Boeing 747,UA20184,DEN,KCVG,243,41880,41940,48540
Airbus 380,UA20185,DEN,SFO,572,33960,34020,39720
Airbus 330,UA20186,DEN,CLE,329,36900,36960,45300
Airbus 330,UA20187,DEN,MEM,321,28200,28260,34380
Boeing 747,UA20188,DEN,KBOS,263,34800,34860,45420
Airbus 380,UA20189,DEN,JFK,524,33240,33300,42660
Boeing 747,UA20190,DEN,LAX,265,37800,37860,43260
Boeing 747,UA20191,DEN,KSLC,251,37920,37980,40620
Airbus 330,UA20192,DEN,JFK,321,34680,34740,45900
Airbus 380,UA20193,DEN,KMSP,588,38160,38220,42360
Boeing 747,UA20194,DEN,KMSP,226,41220,41280,45600
Boeing 747,UA20195,DEN,MCO,249,27120,27180,36540
Airbus 330,UA20196,DEN,KBOS,280,39780,39840,51840
Airbus 380,UA20197,DEN,KCLT,564,32640,32700,40500
Boeing 747,UA20198,DEN,KMSY,236,28800,28860,35400
Boeing 747,UA20199,DEN,KSAV,261,31620,31680,40260
Airbus 330,UA20200,SFO,KSTL,333,25560,25620,37500
Boeing 747,UA20201,SFO,MCO,246,41700,41760,56400
Airbus 380,UA20202,SFO,KSAV,566,29820,29880,43320
Airbus 380,UA20203,SFO,DEN,623,42240,42300,48000
Boeing 747,UA20204,SFO,MCI,266,32700,32760,41880
Airbus 380,UA20205,SFO,KSLC,598,34500,34560,38220
Boeing 747,UA20206,SFO,KSEA,270,31620,31680,36000
Airbus 380,UA20207,SFO,ORD,531,38280,38340,48960
Boeing 747,UA20208,SFO,LAX,247,39720,39780,42060
Airbus 330,UA20209,SFO,KMSP,297,37860,37920,48840
Airbus 330,UA20210,SFO,KMSY,300,38820,38880,51960
Airbus 330,UA20211,SFO,MEM,276,37980,38040,50400
Airbus 380,UA20212,SFO,KSTL,589,28500,28560,38580
Airbus 380,UA20213,SFO,MEM,611,37020,37080,47460
Airbus 330,UA20214,SFO,DEN,322,25020,25080,31860
Airbus 330,UA20215,SFO,KCLT,287,24720,24780,40380
Airbus 380,UA20216,SFO,KDTW,615,41400,41460,53340
Airbus 380,UA20217,SFO,ATL,645,22200,22260,34500
Airbus 330,UA20218,SFO,KSEA,291,26880,26940,31800
Boeing 747,UA20219,SFO,MCO,250,33300,33360,48000
Airbus 330,UA20220,SFO,JFK,319,35580,35640,53160
Boeing 747,UA20221,SFO,KSTL,265,28200,28260,38760
Airbus 380,UA20222,SFO,KPHX,639,25860,25920,29880
Boeing 747,UA20223,SFO,KMIA,241,26160,26220,41700
Boeing 747,UA20224,SFO,KSAV,254,41880,41940,56040
Boeing 747,UA20225,SFO,LAX,271,35340,35400,37680
Airbus 330,UA20226,SFO,KNKX,274,25080,25140,28440
Airbus 330,UA20227,SFO,KMCI,290,30960,31020,41340
Airbus 380,UA20228,SFO,MEM,532,37860,37920,48300
Airbus 330,UA20229,SFO,MEM,278,40560,40620,52980
Airbus 330,UA20230,SFO,JFK,290,36420,36480,54000
Boeing 747,UA20231,SFO,KSEA,269,41160,41220,45540
Airbus 330,UA20232,SFO,MCO,285,30540,30600,47220
Boeing 747,UA20233,SFO,KSTL,223,28680,28740,39240
Airbus 330,UA20234,SFO,DEN,276,41100,41160,47940
Airbus 330,UA20235,SFO,LAX,302,25800,25860,28440
Boeing 747,UA20236,SFO,DEN,234,27960,28020,34020
Boeing 747,UA20237,SFO,KBOS,250,23940,24000,40140
Airbus 380,UA20238,SFO,KSTL,552,26100,26160,36180
Airbus 380,UA20239,SFO,KCLT,566,23820,23880,37020
Boeing 747,UA20240,SFO,KSTL,270,23940,24000,34500
Airbus 380,UA20241,SFO,MEM,632,34260,34320,44700
Airbus 330,UA20242,SFO,KSTL,322,26820,26880,38760
Airbus 330,UA20243,SFO,KPHL,332,25380,25440,42540
Boeing 747,UA20244,SFO,KSLC,224,26520,26580,30420
Boeing 747,UA20245,SFO,KPIT,231,37380,37440,50940
Airbus 380,UA20246,SFO,ORD,535,36000,36060,46680
Airbus 380,UA20247,SFO,KMCI,644,28560,28620,37320
Airbus 380,UA20248,SFO,ORD,563,40380,40440,51060
Boeing 747,UA20249,SFO,KPHL,266,25980,26040,41100
Boeing 747,UA20250,SFO,KSAV,251,24960,25020,39120
Airbus 330,UA20251,SFO,KMSY,334,39240,39300,52380
Airbus 380,UA20252,SFO,MCO,558,27660,27720,41700
Airbus 380,UA20253,SFO,KSLC,549,31740,31800,35460
Boeing 747,UA20254,SFO,ATL,245,38640,38700,51540
Airbus 330,UA20255,SFO,KNKX,292,31860,31920,35220
Airbus 380,UA20256,SFO,KCLT,548,21840,21900,35040
Airbus 330,UA20257,SFO,LIT,269,29040,29100,40680
Airbus 330,UA20258,SFO,KPIT,307,35580,35640,50940
Boeing 747,UA20259,SFO,KCVG,241,42000,42060,54300
Boeing 747,UA20260,SFO,KCVG,275,26820,26880,39120
Boeing 747,UA20261,SFO,ORD,242,27240,27300,38400
Boeing 747,UA20262,SFO,KPIT,242,27900,27960,41460
Airbus 330,UA20263,SFO,KPHL,330,26820,26880,43980
Boeing 747,UA20264,SFO,KSTL,243,36480,36540,47040
Boeing 747,UA20265,SFO,KDTW,258,38100,38160,50640
Airbus 380,UA20266,SFO,ATL,581,38880,38940,51180
Boeing 747,UA20267,SFO,KCVG,266,40740,40800,53040
Boeing 747,UA20268,SFO,KPHL,240,21600,21660,36720
Boeing 747,UA20269,SFO,KPHL,224,41580,41640,56700
Airbus 330,UA20270,SFO,KSLC,273,36540,36600,40920
Airbus 330,UA20271,SFO,KSLC,288,40860,40920,45240
Boeing 747,UA20272,SFO,KSLC,237,22260,22320,26160
Airbus 330,UA20273,SFO,MCI,303,41460,41520,51840
Boeing 747,UA20274,SFO,LAX,221,35700,35760,38040
Boeing 747,UA20275,SFO,KSAV,238,42420,42480,56580
Boeing 747,UA20276,SFO,MEM,247,38580,38640,49560
Airbus 380,UA20277,SFO,KBOS,535,22620,22680,38040
Boeing 747,UA20278,SFO,MCI,248,24000,24060,33180
Airbus 330,UA20279,SFO,JFK,293,26640,26700,44220
Boeing 747,UA20280,SFO,KMIA,251,38400,38460,53940
Airbus 330,UA20281,SFO,KPHX,279,35220,35280,39960
Boeing 747,UA20282,SFO,MCI,253,41520,41580,50700
Boeing 747,UA20283,SFO,KMIA,237,35100,35160,50640
Airbus 330,UA20284,SFO,ORD,272,39720,39780,52380
Boeing 747,UA20285,SFO,KSTL,241,33000,33060,43560
Airbus 330,UA20286,SFO,ATL,269,29400,29460,44040
Boeing 747,UA20287,SFO,KSEA,274,43080,43140,47460
Airbus 380,UA20288,SFO,KBOS,526,29160,29220,44580
Airbus 380,UA20289,SFO,KSTL,567,21840,21900,31920
Boeing 747,UA20290,SFO,KCLT,272,38640,38700,52440
Airbus 380,UA20291,SFO,KSAV,583,23760,23820,37260
Airbus 330,UA20292,SFO,KMSP,296,38640,38700,49620
Airbus 380,UA20293,SFO,MEM,577,36300,36360,46740
Airbus 330,UA20294,SFO,KMIA,272,39120,39180,56700
Boeing 747,UA20295,SFO,MCI,230,35160,35220,44340
Boeing 747,UA20296,SFO,KSTL,245,36240,36300,46800
Boeing 747,UA20297,SFO,KNKX,253,26820,26880,29820
Airbus 330,UA20298,SFO,KCLT,316,38220,38280,53880
Boeing 747,UA20299,SFO,LAX,275,32760,32820,35100
Boeing 747,UA20300,CLE,KSEA,232,30660,30720,42840
Airbus 380,UA20301,CLE,KPHL,651,22620,22680,25020
Airbus 380,UA20302,CLE,KBOS,540,39900,39960,43440
Boeing 747,UA20303,CLE,JFK,249,36420,36480,39300
Airbus 380,UA20304,CLE,ATL,629,32700,32760,36180
Airbus 380,UA20305,CLE,MEM,550,35460,35520,39300
Airbus 330,UA20306,CLE,KSEA,320,41040,41100,54840
Boeing 747,UA20307,CLE,DEN,222,37080,37140,44460
Airbus 330,UA20308,CLE,ATL,308,40680,40740,44760
Boeing 747,UA20309,CLE,KSAV,256,29400,29460,33540
Airbus 380,UA20310,CLE,KSAV,622,40020,40080,43980
Airbus 380,UA20311,CLE,KPHL,538,37920,37980,40320
Airbus 380,UA20312,CLE,LAX,550,39900,39960,51720
Airbus 330,UA20313,CLE,KNKX,292,32340,32400,46140
Boeing 747,UA20314,CLE,KMIA,234,25080,25140,31800
Airbus 330,UA20315,CLE,MCO,279,36900,36960,43260
Airbus 380,UA20316,CLE,KPIT,592,35220,35280,36180
Airbus 380,UA20317,CLE,KSTL,583,34260,34320,37380
Boeing 747,UA20318,CLE,KMSP,241,33120,33180,37140
Airbus 330,UA20319,CLE,KCVG,280,36480,36540,38340
Airbus 380,UA20320,CLE,KSTL,628,32700,32760,35820
Airbus 330,UA20321,CLE,KMSY,272,35160,35220,41700
Airbus 330,UA20322,CLE,KSLC,288,31800,31860,42600
Boeing 747,UA20323,CLE,KCLT,237,30420,30480,33360
Airbus 330,UA20324,CLE,KSAV,306,23400,23460,28080
Boeing 747,UA20325,CLE,KSTL,237,42660,42720,45900
Airbus 330,UA20326,CLE,KSAV,294,30000,30060,34680
Airbus 330,UA20327,CLE,KDTW,309,28860,28920,29880
Airbus 380,UA20328,CLE,DEN,629,36180,36240,43260
Airbus 330,UA20329,CLE,ATL,298,31260,31320,35340
Boeing 747,UA20330,CLE,KBOS,238,32640,32700,36300
Airbus 330,UA20331,CLE,MEM,303,36060,36120,40620
Boeing 747,UA20332,CLE,KMSY,225,40560,40620,46320
Airbus 330,UA20333,CLE,DEN,328,38100,38160,46500
Boeing 747,UA20334,CLE,SFO,270,21600,21660,34620
Boeing 747,UA20335,CLE,KBOS,228,24720,24780,28380
Airbus 380,UA20336,CLE,LAX,531,29520,29580,41340
Boeing 747,UA20337,CLE,LAX,250,31440,31500,43800
Airbus 330,UA20338,CLE,KSLC,310,23160,23220,33960
Airbus 330,UA20339,CLE,KCVG,290,27780,27840,29640
Airbus 330,UA20340,CLE,ATL,310,25740,25800,29820
Airbus 380,UA20341,CLE,KSLC,551,26820,26880,35940
Airbus 380,UA20342,CLE,KCVG,632,33120,33180,34740
Airbus 330,UA20343,CLE,KNKX,287,32160,32220,45960
Boeing 747,UA20344,CLE,KSAV,229,23040,23100,27180
Airbus 330,UA20345,CLE,LIT,323,25800,25860,31020
Airbus 330,UA20346,CLE,MEM,331,41460,41520,46020
Airbus 330,UA20347,CLE,KPIT,270,39360,39420,40440
Airbus 330,UA20348,CLE,KSLC,269,23280,23340,34080
Airbus 380,UA20349,CLE,DEN,638,36000,36060,43080
Airbus 330,UA20350,CLE,KSLC,308,24420,24480,35220
Airbus 380,UA20351,CLE,MCO,543,36480,36540,41880
Airbus 330,UA20352,CLE,KDTW,301,24000,24060,25020
Airbus 330,UA20353,CLE,KSTL,318,32040,32100,35640
Airbus 330,UA20354,CLE,KPHL,281,30720,30780,33540
Airbus 330,UA20355,CLE,KMSY,293,38160,38220,44700
Airbus 380,UA20356,CLE,LAX,527,33240,33300,45060
Airbus 330,UA20357,CLE,KSLC,268,42780,42840,53580
Boeing 747,UA20358,CLE,MEM,250,30600,30660,34620
Airbus 330,UA20359,CLE,KSAV,268,40860,40920,45540
Boeing 747,UA20360,CLE,LAX,255,29640,29700,42000
Boeing 747,UA20361,CLE,SFO,221,30120,30180,43140
Airbus 380,UA20362,CLE,KCVG,572,38460,38520,40080
Airbus 330,UA20363,CLE,LAX,269,36300,36360,50340
Airbus 380,UA20364,CLE,KMSP,599,29700,29760,33540
Boeing 747,UA20365,CLE,KSAV,261,40740,40800,44880
Airbus 330,UA20366,CLE,KSAV,299,34020,34080,38700
Airbus 330,UA20367,CLE,KMSP,334,31080,31140,35580
Boeing 747,UA20368,CLE,SFO,261,37740,37800,50760
Airbus 330,UA20369,CLE,DEN,296,32160,32220,40560
Airbus 330,UA20370,CLE,KCLT,332,35340,35400,38580
Airbus 380,UA20371,CLE,KSLC,637,37680,37740,46800
Airbus 380,UA20372,CLE,DEN,622,41280,41340,48360
Airbus 330,UA20373,CLE,KPHL,287,39960,40020,42780
Airbus 380,UA20374,CLE,KDTW,532,27420,27480,28320
Airbus 330,UA20375,CLE,ATL,298,37080,37140,41160
Boeing 747,UA20376,CLE,DEN,235,40980,41040,48360
Boeing 747,UA20377,CLE,LIT,224,33360,33420,38040
Airbus 330,UA20378,CLE,MCI,325,34620,34680,39600
Airbus 380,UA20379,CLE,JFK,524,34200,34260,36960
Airbus 380,UA20380,CLE,MCI,569,41400,41460,45660
Boeing 747,UA20381,CLE,KMSY,249,30600,30660,36360
Boeing 747,UA20382,CLE,KPHX,247,25320,25380,35880
Airbus 330,UA20383,CLE,KMIA,287,35880,35940,43500
Airbus 330,UA20384,CLE,KNKX,276,23400,23460,37200
Airbus 380,UA20385,CLE,KPHX,554,37800,37860,47880
Airbus 380,UA20386,CLE,KPIT,637,33780,33840,34740
Boeing 747,UA20387,CLE,KCLT,230,24540,24600,27480
Boeing 747,UA20388,CLE,KSLC,265,23280,23340,32820
Airbus 380,UA20389,CLE,ATL,595,34740,34800,38220
Airbus 330,UA20390,CLE,KSLC,334,28620,28680,39420
Airbus 330,UA20391,CLE,MEM,316,27660,27720,32220
Airbus 330,UA20392,CLE,LAX,298,40440,40500,54480
Airbus 330,UA20393,CLE,KNKX,294,28200,28260,42000
Airbus 330,UA20394,CLE,KPIT,278,26700,26760,27780
Airbus 380,UA20395,CLE,KCVG,618,35580,35640,37200
Airbus 330,UA20396,CLE,LAX,277,22080,22140,36120
Airbus 380,UA20397,CLE,LAX,565,21660,21720,33480
Airbus 330,UA20398,CLE,KMSY,287,42720,42780,49260
Airbus 330,UA20399,CLE,KSTL,317,27240,27300,30840
Airbus 330,UA20400,MCO,MCI,269,30540,30600,38100
Airbus 380,UA20401,MCO,LAX,614,30420,30480,43140
Airbus 380,UA20402,MCO,KCVG,597,34800,34860,39420
Airbus 380,UA20403,MCO,DEN,588,31320,31380,40320
Airbus 380,UA20404,MCO,ORD,617,37980,38040,43980
Boeing 747,UA20405,MCO,KBOS,240,27300,27360,34260
Airbus 380,UA20406,MCO,SFO,612,24120,24180,38160
Airbus 380,UA20407,MCO,MEM,618,29760,29820,33960
Boeing 747,UA20408,MCO,JFK,271,29520,29580,35460
Airbus 330,UA20409,MCO,JFK,300,32580,32640,39300
Boeing 747,UA20410,MCO,ATL,222,23520,23580,26280
Airbus 380,UA20411,MCO,DEN,581,25680,25740,34680
Boeing 747,UA20412,MCO,KMCI,238,34080,34140,40740
Boeing 747,UA20413,MCO,LAX,275,26220,26280,39600
Airbus 330,UA20414,MCO,KBOS,313,22440,22500,30300
Boeing 747,UA20415,MCO,ATL,235,27060,27120,29820
Airbus 330,UA20416,MCO,KMIA,276,33660,33720,35340
Boeing 747,UA20417,MCO,SFO,272,22560,22620,37260
Airbus 380,UA20418,MCO,KMSP,586,31020,31080,38700
Airbus 380,UA20419,MCO,KMSP,600,38640,38700,46320
Airbus 330,UA20420,MCO,KSLC,307,32820,32880,46080
Boeing 747,UA20421,MCO,KMIA,237,22680,22740,24180
Airbus 380,UA20422,MCO,KMCI,642,40260,40320,46620
Airbus 380,UA20423,MCO,CLE,560,26520,26580,31920
Airbus 380,UA20424,MCO,KDTW,602,33300,33360,39060
Airbus 380,UA20425,MCO,KPHL,602,24840,24900,30060
Airbus 330,UA20426,MCO,KCLT,313,23160,23220,26700
Airbus 330,UA20427,MCO,KCLT,316,32520,32580,36060
Boeing 747,UA20428,MCO,KPIT,230,28140,28200,33420
Boeing 747,UA20429,MCO,KSTL,274,39180,39240,44760
Boeing 747,UA20430,MCO,KSEA,247,33480,33540,48840
Airbus 380,UA20431,MCO,CLE,642,25200,25260,30600
Airbus 330,UA20432,MCO,ATL,325,27300,27360,30360
Airbus 330,UA20433,MCO,DEN,290,26460,26520,37140
Airbus 330,UA20434,MCO,KMIA,313,30600,30660,32280
Boeing 747,UA20435,MCO,MEM,232,30420,30480,34800
Boeing 747,UA20436,MCO,ATL,251,35940,36000,38700
Airbus 380,UA20437,MCO,KPHX,546,43020,43080,53700
